anon_subject_id,Hunger,Thirst,TimeSinceEaten_Hours,TimeSinceEaten_Minutes,MinutesSinceEaten
1,62.0,70.0,4.0,30.0,270.0
2,20.0,10.0,1.0,0.0,60.0
3,5.0,55.0,0.0,30.0,30.0
4,22.0,52.0,3.0,30.0,210.0
5,73.0,54.0,2.0,15.0,135.0
6,50.0,70.0,1.0,60.0,120.0
7,51.0,71.0,1.0,60.0,120.0
8,66.0,53.0,7.0,0.0,420.0
9,36.0,43.0,5.0,10.0,310.0
10,60.0,30.0,3.0,30.0,210.0
11,50.0,50.0,4.0,0.0,240.0
12,100.0,50.0,8.0,30.0,510.0
13,25.0,57.0,2.0,0.0,120.0
14,40.0,25.0,3.0,0.0,180.0
15,8.0,24.0,0.0,30.0,30.0
16,79.0,16.0,0.0,,0.0
17,72.0,80.0,13.0,30.0,810.0
18,64.0,56.0,3.0,0.0,180.0
19,0.0,20.0,0.0,45.0,45.0
20,0.0,28.0,0.0,30.0,30.0
21,50.0,65.0,0.0,5.0,5.0
22,25.0,30.0,1.0,0.0,60.0
23,50.0,50.0,1.0,0.0,60.0
24,35.0,40.0,2.0,15.0,135.0
25,50.0,0.0,5.0,24.0,324.0
26,44.0,44.0,4.0,30.0,270.0
27,0.0,0.0,0.0,4.0,4.0
28,84.0,49.0,4.0,30.0,270.0
29,76.0,0.0,1.0,15.0,75.0
30,7.0,9.0,2.0,5.0,125.0
31,26.0,16.0,2.0,0.0,120.0
32,50.0,58.0,1.0,60.0,120.0
33,50.0,50.0,0.0,45.0,45.0
34,34.0,6.0,6.0,35.0,395.0
35,50.0,50.0,14.0,0.0,840.0
36,7.0,28.0,1.0,0.0,60.0
37,75.0,50.0,15.0,,900.0
38,25.0,10.0,6.0,0.0,360.0
39,60.0,76.0,7.0,0.0,420.0
40,60.0,34.0,0.0,35.0,35.0
41,70.0,81.0,3.0,15.0,195.0
42,50.0,70.0,9.0,9.0,549.0
43,70.0,50.0,10.0,30.0,630.0
44,35.0,45.0,0.0,45.0,45.0
45,79.0,0.0,0.0,0.0,0.0
46,7.0,0.0,0.0,55.0,55.0
47,76.0,60.0,3.0,10.0,190.0
48,20.0,59.0,7.0,0.0,420.0
49,0.0,29.0,,720.0,720.0
50,24.0,19.0,1.0,15.0,75.0
51,42.0,50.0,3.0,30.0,210.0
52,80.0,55.0,0.0,35.0,35.0
53,10.0,0.0,2.0,0.0,120.0
54,50.0,30.0,1.0,60.0,120.0
55,74.0,60.0,1.0,35.0,95.0
56,9.0,71.0,2.0,15.0,135.0
57,84.0,80.0,1.0,60.0,120.0
58,37.0,69.0,1.0,30.0,90.0
59,68.0,67.0,1.0,35.0,95.0
60,100.0,100.0,6.0,20.0,380.0
61,0.0,61.0,0.0,50.0,50.0
62,74.0,60.0,1.0,35.0,95.0
63,65.0,34.0,1.0,60.0,120.0
64,0.0,0.0,0.0,30.0,30.0
65,25.0,59.0,6.0,0.0,360.0
66,69.0,67.0,1.0,35.0,95.0
67,3.0,7.0,1.0,0.0,60.0
68,100.0,100.0,7.0,30.0,450.0
69,91.0,91.0,1.0,60.0,120.0
70,78.0,56.0,3.0,25.0,205.0
71,75.0,90.0,8.0,0.0,480.0
72,51.0,40.0,8.0,15.0,495.0
73,32.0,0.0,2.0,,120.0
74,77.0,77.0,2.0,30.0,150.0
75,10.0,80.0,4.0,0.0,240.0
76,0.0,0.0,1.0,0.0,60.0
77,23.0,40.0,0.0,15.0,15.0
78,45.0,0.0,3.0,20.0,200.0
79,60.0,35.0,3.0,20.0,200.0
80,79.0,54.0,6.0,15.0,375.0
81,0.0,0.0,0.0,5.0,5.0
82,41.0,52.0,1.0,30.0,90.0
83,33.0,20.0,0.0,30.0,30.0
84,80.0,63.0,2.0,0.0,120.0
85,74.0,37.0,5.0,30.0,330.0
86,11.0,42.0,0.0,11.0,11.0
87,0.0,0.0,5.0,40.0,340.0
88,95.0,96.0,5.0,0.0,300.0
89,25.0,10.0,0.0,45.0,45.0
90,7.0,11.0,0.0,30.0,30.0
91,94.0,78.0,8.0,20.0,500.0
92,6.0,6.0,4.0,3.0,243.0
93,13.0,66.0,1.0,,60.0
94,62.0,91.0,1.0,30.0,90.0
95,0.0,9.0,0.0,20.0,20.0
96,100.0,91.0,4.0,0.0,240.0
97,1.0,20.0,1.0,,60.0
98,15.0,45.0,3.0,0.0,180.0
99,65.0,81.0,10.0,30.0,630.0
100,50.0,72.0,4.0,0.0,240.0
101,34.0,43.0,,40.0,40.0
102,70.0,83.0,4.0,0.0,240.0
103,5.0,41.0,0.0,30.0,30.0
104,4.0,39.0,,10.0,10.0
105,0.0,30.0,4.0,30.0,270.0
106,25.0,20.0,1.0,30.0,90.0
107,4.0,52.0,,45.0,45.0
108,30.0,59.0,1.0,50.0,110.0
109,59.0,76.0,3.0,24.0,204.0
110,24.0,9.0,0.0,40.0,40.0
111,10.0,64.0,,0.0,0.0
112,50.0,70.0,5.0,,300.0
113,18.0,52.0,3.0,0.0,180.0
114,69.0,25.0,0.0,20.0,20.0
115,50.0,64.0,,1.0,1.0
116,60.0,58.0,5.0,0.0,300.0
117,3.0,4.0,0.0,30.0,30.0
118,77.0,19.0,2.0,,120.0
119,10.0,71.0,,30.0,30.0
120,24.0,28.0,2.0,,120.0
121,59.0,39.0,3.0,,180.0
122,3.0,9.0,16.0,,960.0
123,70.0,86.0,0.0,40.0,40.0
124,35.0,71.0,0.0,46.0,46.0
125,0.0,100.0,7.0,,420.0
126,38.0,50.0,,60.0,60.0
